field_1,ID2,lat,long,el,Aspect,Profilecurv,Tangentialc,Slope,PNWSRTMDEM
"48","61923541",49.6453608120,-123.2046451700,".",331.4761657700,-0.0086189983,-0.0007388435,13.4969596860,140.0000000000
"49","62133383",47.1943095790,-121.9153992100,".",199.3516387900,0.0020222845,-0.0010480609,4.9517049789,405.0000000000
"50","62139519",47.1887396370,-122.3279077000,".",285.8789062500,0.0001575165,-0.0003851801,5.0931458473,16.0000000000
"51","62243128",48.4605392580,-122.6034160000,".",172.4012908900,-0.0051002093,-0.0000488565,12.7692251210,154.0000000000
"52","62250074",48.4631052100,-122.6036728200,".",215.6322174100,0.0036690894,-0.0010458383,4.3429641724,164.0000000000
"53","62264694",48.4735473850,-122.6052083000,".",157.5263977100,-0.0018079904,0.0005892458,4.4676218033,134.0000000000
"54","63186072",47.5499451810,-122.2555292100,".",258.1481628400,0.0032184052,0.0060222158,8.5420589447,37.0000000000
"55","63253840",47.4873686830,-121.7194069000,".",159.7858734100,0.0007084011,0.0007909309,6.6862139702,224.0000000000
"56","63255638",47.4874740830,-121.7190340000,".",145.6879577600,0.0001370818,0.0020997275,5.6714816093,226.0000000000
"57","63298788",47.3035166700,-122.5165250000,".",226.6998748800,-0.0004956705,-0.0010153487,6.1951112747,25.0000000000
"58","63298939",47.4923666700,-122.0639028300,".",241.5707397500,-0.0001794050,0.0006143075,7.5173139572,265.0000000000
"59","63522352",48.7744916700,-122.4804533300,".",232.0467071500,0.0019402038,0.0020381350,4.5709052086,56.0000000000
"60","63842953",46.9126149120,-122.9289946000,".",153.5750732400,-0.0023462789,0.0008672874,9.9885196686,64.0000000000
"61","63843211",46.9305018040,-122.9364521400,".",262.9323730500,-0.0000007313,0.0002170327,1.4845066071,62.0000000000
"62","64575034",48.7300116700,-122.3038166700,".",213.4647674600,0.0015583789,-0.0011764383,14.8193731310,206.0000000000
"63","64707952",49.3241004940,-122.9444732700,".",169.1112823500,-0.0041309423,-0.0031859290,13.6260223390,27.0000000000
"64","65241620",46.7251093690,-117.0099777300,".",,,,,
"65","65344987",47.0751628060,-122.9717604100,".",266.9825134300,0.0006097370,-0.0004145127,3.7439780235,50.0000000000
"66","65345686",47.0734039720,-122.9740520000,".",121.6379013100,-0.0033633325,0.0000523070,5.6400671005,53.0000000000
"67","65346596",47.0731910000,-122.9735720000,".",52.4742774960,-0.0007682992,0.0022251527,5.7286038399,57.0000000000
"68","65827522",47.2478333300,-122.4809583300,".",185.5025939900,0.0003095140,0.0000226126,4.7732572556,109.0000000000
"69","65827983",47.2496633300,-122.4819500000,".",257.6365966800,0.0004432805,-0.0024597042,4.2281527519,108.0000000000
"70","65828255",47.6675750000,-122.2856666700,".",342.5081787100,0.0006520734,-0.0006723227,4.1326608658,39.0000000000
"71","65988466",47.8698980000,-117.1570100000,".",,,,,
"72","66016390",49.2138977050,-122.9076461800,".",339.5071411100,-0.0011818386,0.0005782493,5.0464200974,97.0000000000
"73","66054060",47.7240478000,-122.2447948300,".",149.8930511500,-0.0001510915,0.0000984282,3.5416088104,152.0000000000
"74","66054151",47.7232123500,-122.2444968400,".",139.0939788800,0.0004266255,-0.0006865242,2.9848606586,156.0000000000
"75","66062190",47.7237474000,-122.2460907000,".",210.9965210000,-0.0020109005,-0.0002522995,3.4926602840,142.0000000000
"76","66197132",47.5499857900,-122.2554107800,".",289.0296936000,0.0021964433,0.0009133961,9.3655891418,35.0000000000
"77","66312732",47.3374910000,-122.7807900000,".",57.7775421140,0.0003741226,0.0018037680,14.4178276060,20.0000000000
"78","66362924",48.7561284150,-122.4399149000,".",212.7873230000,0.0011512840,-0.0016017494,7.1051769257,61.0000000000
"79","66390991",47.5853700040,-121.7307021400,".",253.0317077600,0.0008139207,0.0008713465,1.6822110415,361.0000000000
"80","66585862",47.3021450000,-122.5243133300,".",258.8474121100,0.0000732900,-0.0000964789,7.7950582504,67.0000000000
"81","66835176",47.7725805390,-123.4725164600,".",277.0021057100,-0.0013063917,0.0068618031,19.9355888370,998.0000000000
"82","66837428",48.0279406460,-122.7745359300,".",83.7349472050,-0.0001548668,0.0031708309,7.5225934982,42.0000000000
"83","66966170",47.3596533300,-122.5930783300,".",85.0619354250,0.0011992755,0.0026992052,1.9081370831,97.0000000000
"84","66966372",47.3597116700,-122.5921633300,".",105.8859481800,-0.0006444190,-0.0004385507,1.8914171457,94.0000000000
"85","67182029",47.7023001320,-122.3092648900,".",47.7509422300,0.0002000517,0.0008584420,9.6160526276,75.0000000000
"86","67207257",46.7248916700,-117.0131222200,".",,,,,
"87","67542612",47.6252466670,-122.2997966700,".",301.8529968300,0.0015032800,0.0013374555,10.5203113560,83.0000000000
"88","67542762",47.6354750000,-122.3067633300,".",67.9171600340,0.0006681482,0.0024029210,10.8192234040,67.0000000000
"89","67548524",47.6256466670,-122.3244700000,".",152.6645355200,0.0020246736,-0.0018130683,9.3489065170,94.0000000000
"90","67558333",47.6307916670,-122.3163216700,".",217.7976074200,0.0035946397,0.0020419201,4.1486387253,142.0000000000
"91","67590491",47.4658932930,-122.4595996600,".",201.5711517300,0.0004831481,-0.0001920778,4.2825036049,137.0000000000
"92","67689415",47.5519633330,-122.2535333300,".",175.7319946300,0.0027225984,0.0003699794,3.5284736156,45.0000000000
"93","67725403",48.0160669970,-122.6740913900,".",297.1911010700,0.0020164987,0.0002565477,6.9466857910,33.0000000000
"94","67737614",47.5526916670,-122.2513966700,".",148.4221954300,-0.0011261519,-0.0015969886,4.0304822922,43.0000000000
"95","67810237",49.1400721670,-123.9437333300,".",86.4521179200,0.0007716302,0.0000196577,9.6134223938,51.0000000000
"96","67839053",47.5305116730,-121.9771116700,".",126.9905090300,-0.0007485106,0.0011274728,11.0537967680,176.0000000000
"97","67931089",45.4870293880,-122.5720033000,".",139.0210418700,0.0005929471,0.0002910516,1.6954644918,83.0000000000
"98","68079062",47.4666169520,-122.4585582100,".",249.1369171100,-0.0000027856,-0.0016083956,4.1445207596,133.0000000000
"99","68228219",47.5487655280,-122.2830995500,".",237.9867095900,0.0022708073,0.0012132566,3.5751156807,58.0000000000
"100","68245512",45.7996305560,-122.6816666700,".",118.0566177400,-0.0007475228,-0.0001738805,2.5414743423,83.0000000000
"101","68245540",45.7996305560,-122.6816666700,".",118.0566177400,-0.0007475228,-0.0001738805,2.5414743423,83.0000000000
"102","68262877",48.5230966670,-123.3922416700,".",146.8406524700,0.0016353849,0.0011468941,9.3403825760,75.0000000000
"103","68280669",47.4949470000,-122.0690720000,".",225.7361145000,-0.0000639306,-0.0005215844,7.5392084122,275.0000000000
"104","68283750",47.3777457700,-121.9825186400,".",91.7760467530,0.0025437383,0.0014898200,3.2757811546,174.0000000000
"105","68284552",47.3764328660,-121.9804870300,".",108.0947189300,-0.0031868517,-0.0013653887,7.5043182373,170.0000000000
"106","68317487",46.7521083330,-121.8123222200,".",183.2545013400,0.0010232466,-0.0006473217,11.8001976010,862.0000000000
"107","68317528",46.7498861110,-121.8134277800,".",191.0462493900,-0.0029551133,-0.0003810411,3.3353374004,840.0000000000
"108","68378273",47.2452264560,-122.4858716200,".",137.4589080800,0.0002950582,0.0007399357,3.4393146038,113.0000000000
"109","68382043",49.3051834110,-123.0087814300,".",88.9642105100,-0.0007193429,0.0002759137,1.2647308111,4.0000000000
"110","68382155",49.3054275510,-123.0087966900,".",188.6300811800,-0.0009420164,0.0002379863,2.0467882156,4.0000000000
"111","68431464",47.6176083330,-122.3131866700,".",197.1427154500,0.0002447866,0.0001743187,3.6316735744,124.0000000000
"112","68431725",47.4656500000,-120.3248450000,".",72.6949386600,0.0009527039,0.0021105264,3.4707617760,203.0000000000
"113","68439913",49.4044800000,-123.5599750000,".",165.8675537100,0.0020321363,0.0006036086,14.4098625180,148.0000000000
"114","68441859",49.4056783330,-123.5576383300,".",324.5340271000,-0.0015618579,0.0012694569,6.3006134033,137.0000000000
"115","68471695",49.3424606320,-123.1357727000,".",274.5973815900,-0.0008620656,-0.0011292420,7.0474448204,121.0000000000
"116","68476388",49.3895300000,-123.5527033300,".",271.5106811500,-0.0002922544,-0.0001798247,19.5135650630,14.0000000000
"117","68499123",47.3751391600,-122.0621320800,".",73.0441436770,0.0009968447,0.0018139875,10.3999681470,187.0000000000
"118","68500224",47.3740218600,-122.0635354500,".",192.9718933100,0.0017251751,0.0015637901,3.2244567871,192.0000000000
"119","68502979",47.3752840200,-122.0663681700,".",122.7423019400,-0.0021326765,-0.0012330373,11.2962808610,158.0000000000
"120","68516263",49.1191833330,-123.9876950000,".",277.6856079100,-0.0014948311,0.0000566385,1.7486715317,215.0000000000
"121","68522616",49.3299179070,-122.9988174400,".",223.3031921400,-0.0017448135,0.0010402495,6.3725972176,156.0000000000
"122","68522813",49.3309783930,-122.9989929200,".",222.6521911600,0.0000379214,-0.0014922341,20.7856655120,174.0000000000
"123","68523103",49.3142318730,-122.9924469000,".",278.7747497600,0.0001129868,-0.0005921987,2.7758524418,73.0000000000
"124","68570665",49.1398500000,-123.9508833300,".",30.4176673890,0.0000754990,-0.0002983573,9.1427659988,64.0000000000
"125","68571073",49.1434833330,-123.9441966700,".",161.0737609900,-0.0012888560,-0.0000030933,4.4224600792,40.0000000000
"126","68579641",49.3167686460,-122.9893341100,".",268.4653930700,-0.0010536260,-0.0012012151,3.2837073803,101.0000000000
"127","68579840",49.3151702880,-122.9834060700,".",282.6100463900,-0.0012263638,0.0016100126,8.8608541489,95.0000000000
"128","68579958",49.3361167910,-123.1038208000,".",226.7232055700,-0.0009291047,-0.0018565564,2.3212578297,84.0000000000
"130","68580064",49.3348503110,-123.1087951700,".",252.0440826400,-0.0016052574,-0.0011659622,6.3505582809,68.0000000000
"132","68580149",49.3354492190,-123.1105957000,".",205.8341827400,-0.0012152659,-0.0009859893,5.4544787407,67.0000000000
"133","68580268",49.3347854610,-123.1087722800,".",252.0440826400,-0.0016052574,-0.0011659622,6.3505582809,68.0000000000
"134","68615753",48.7884507800,-123.2592627300,".",68.2063369750,-0.0014265062,0.0017750114,23.1577739720,116.0000000000
"135","68615871",48.7886037400,-123.2590264600,".",57.3964538570,-0.0057701641,0.0001135790,13.9222011570,101.0000000000
"136","68622048",49.3167648310,-122.9522476200,".",222.0657806400,0.0017130296,0.0010535342,3.2387030125,46.0000000000
"137","68622120",49.3166275020,-122.9518203700,".",245.8114318800,0.0028901782,0.0034523860,3.6190660000,47.0000000000
"138","68628574",48.7885768800,-123.2587738300,".",57.3964538570,-0.0057701641,0.0001135790,13.9222011570,101.0000000000
"139","68628652",48.7885868700,-123.2584036000,".",116.4845962500,-0.0059545571,-0.0018814398,7.9839549065,96.0000000000
"140","68629089",48.7860282200,-123.2556199200,".",57.4223213200,0.0033260158,0.0026867902,13.1740064620,143.0000000000
"141","68646417",48.4652533330,-123.3159116700,".",80.3027496340,-0.0003119248,0.0002532132,2.8566651344,60.0000000000
"142","68658537",49.2908333330,-123.0491666700,".",67.9789199830,0.0015518731,-0.0004676308,3.5617713928,37.0000000000
"143","68658762",49.2920875550,-123.0506973300,".",111.0848617600,0.0020414072,0.0018970056,12.9677600860,22.0000000000
"144","68658879",49.2918205260,-123.0500946000,".",68.7876281740,0.0021657222,0.0028395993,8.1733407974,29.0000000000
"145","68699666",49.3158912660,-123.0074920700,".",282.7968750000,0.0035378383,0.0028211048,6.1333103180,85.0000000000
"146","68699838",49.3199043270,-123.0372772200,".",334.5352172900,-0.0004102635,-0.0018905703,9.2251987457,79.0000000000
"147","68699970",49.3182293390,-123.0107101100,".",176.0515594500,-0.0014185503,-0.0012137052,12.0241327290,34.0000000000
"148","68700424",49.3166666670,-123.0105555600,".",167.6126251200,-0.0051526763,-0.0023133042,31.3929100040,43.0000000000
"149","68710615",48.7476094700,-123.1836157700,".",67.4455490110,-0.0040182113,0.0000533492,14.6424694060,25.0000000000
"150","68710668",48.7474721800,-123.1834762600,".",67.4455490110,-0.0040182113,0.0000533492,14.6424694060,25.0000000000
"151","68729584",47.3788804000,-121.9730033000,".",214.9914093000,0.0029594479,0.0008631538,5.3687124252,206.0000000000
"152","68730344",47.4506980000,-122.0732590000,".",90.5663452150,-0.0007602798,-0.0015215500,2.9205870628,62.0000000000
"153","68737226",47.4225318000,-122.0737244000,".",209.6546173100,0.0018109743,-0.0001596667,4.8452725410,152.0000000000
"154","68742200",49.3134727480,-122.9989166300,".",99.3701782230,0.0003938884,-0.0010570983,5.9756393433,67.0000000000
"155","68742288",49.3329734800,-123.0438461300,".",302.3395996100,-0.0003049893,0.0011806987,2.3485031128,145.0000000000
"156","68742508",49.3332939150,-123.0440216100,".",320.4029235800,0.0001627219,0.0014727840,3.0223517418,146.0000000000
"157","68745750",47.6363666670,-122.3068616700,".",63.5166854860,0.0028275799,0.0011897379,20.4513702390,50.0000000000
"158","68746053",47.6358866670,-122.3070450000,".",61.5568275450,0.0026296359,-0.0001414966,10.2565279010,64.0000000000
"159","68769712",47.6368033330,-122.3067633300,".",69.8413085940,-0.0045017721,-0.0018771763,18.6944465640,32.0000000000
"160","68770643",47.6346133330,-122.3060833300,".",21.6102428440,-0.0012179335,-0.0019457646,7.4885568619,68.0000000000
"161","68782040",49.1329500000,-123.9539800000,".",297.6979370100,-0.0023422190,0.0017428559,10.2960329060,134.0000000000
"162","68782322",49.1394778330,-123.9482416700,".",69.7477035520,-0.0016930074,-0.0005661961,2.9884586334,47.0000000000
"163","68824430",48.4619973460,-123.3271415200,".",296.6275634800,0.0002081182,-0.0008827608,1.4097417593,43.0000000000
"164","68826674",48.4620358720,-123.3270326400,".",253.5688629200,0.0000243856,-0.0001362983,1.5295393467,43.0000000000
"165","68828161",48.4609706580,-123.3274957400,".",133.5516357400,-0.0017391803,-0.0015141765,2.6482634544,40.0000000000
"166","68870055",47.7418387200,-122.1381686900,".",122.8779373200,0.0038498114,0.0035754882,12.9252843860,118.0000000000
"167","68887396",49.3236808780,-123.0997695900,".",215.9540557900,-0.0011420588,0.0009097109,2.4275567532,13.0000000000
"168","68937551",47.6198580000,-122.2931190000,".",243.2188110400,0.0001403178,0.0011383581,3.3170750141,32.0000000000
"169","68982233",49.2102777780,-123.1444444400,".",235.4028778100,-0.0005488745,0.0006592174,3.0081515312,30.0000000000
"170","68982848",45.4782466670,-122.6722033300,".",74.7138137820,-0.0009584790,-0.0009531142,3.2061166763,14.0000000000
"171","68983264",49.2099342340,-123.1450347900,".",229.7493286100,-0.0000532766,-0.0002608446,3.1540260315,28.0000000000
"172","68985916",49.2124328610,-123.1475677500,".",202.2563476600,0.0006308599,0.0016143130,4.0671339035,32.0000000000
"173","68986033",49.2130737300,-123.1416931100,".",128.3008575400,0.0009615064,0.0002047388,0.9853051305,43.0000000000
"174","68987311",49.2078633330,-124.0411528300,".",72.5430908200,-0.0004136153,0.0050040856,16.1804580690,122.0000000000
"175","69031450",48.4592050360,-123.3358310300,".",115.5017776500,0.0003713601,0.0006736938,2.8468966484,44.0000000000
"176","69079934",47.6706215790,-122.3097227400,".",69.4946746830,-0.0007536112,-0.0009276262,2.2352457047,73.0000000000
"177","69100155",47.6795021340,-122.3936154400,".",275.1280822800,-0.0004181537,-0.0005022082,3.1116044521,59.0000000000
"178","69100473",47.6794851060,-122.3922885100,".",244.3970336900,0.0003297210,-0.0007394778,3.8935604095,60.0000000000
"179","69100576",47.6795331340,-122.3918578500,".",243.6585235600,0.0003087681,-0.0004974437,2.6211681366,60.0000000000
"180","69120460",47.6258700000,-122.2941133300,".",39.8678550720,0.0010378821,-0.0002693131,4.4136366844,39.0000000000
"181","69162815",48.4615312500,-123.3188999700,".",92.7493362430,0.0002248284,-0.0000523013,3.7875506878,61.0000000000
"182","69178256",49.3041534420,-122.9611053500,".",209.1224212600,0.0017996131,-0.0009227354,4.3938722610,38.0000000000
"183","69232120",48.4616259780,-123.3413791200,".",150.9589691200,0.0039179120,0.0011758326,9.5097036362,93.0000000000
"184","69232770",49.3159065240,-123.0062561000,".",268.3906860400,0.0004195053,-0.0037348787,5.9076561928,77.0000000000
"185","69232973",49.3081665040,-123.0038147000,".",195.7490997300,-0.0017232096,-0.0017162983,2.6518533230,10.0000000000
"186","69236663",47.3700916670,-122.3203050000,".",124.9771881100,-0.0007487698,0.0003412429,0.9405127764,59.0000000000
"187","69267891",49.1887092590,-122.7954635600,".",35.2092514040,-0.0019089871,0.0001955732,3.5167529583,94.0000000000
"188","69268074",49.1900138850,-122.7938842800,".",121.6316299400,0.0010747713,0.0006433789,1.8189837933,98.0000000000
"189","69268876",49.2076759340,-122.7697525000,".",82.7598266600,-0.0001437040,-0.0007624889,3.4709339142,49.0000000000
"190","69269086",49.2054443360,-122.7647171000,".",62.3266067500,-0.0027944378,-0.0028849777,8.9815683365,34.0000000000
"191","69269145",49.2060279840,-122.7766037000,".",71.7940979000,0.0015498879,0.0004160767,1.5823019743,87.0000000000
"192","69377380",46.9596633330,-123.1019666700,".",272.9584350600,-0.0009447005,0.0024056069,6.4140005112,283.0000000000
"193","69382016",48.8157745400,-123.3046798800,".",299.9612121600,0.0001666055,0.0028110477,12.1057443620,52.0000000000
"194","69438855",47.5662033330,-122.3074416700,".",287.6171264600,-0.0005329550,-0.0008995992,2.9970648289,106.0000000000
"195","69463782",47.7123031670,-122.3725999700,".",233.2711029100,0.0023887446,0.0004468876,9.6084699631,51.0000000000
"196","69478668",49.3262634280,-123.0171051000,".",311.9169616700,0.0022248134,0.0007870371,5.5060205460,133.0000000000
"197","69534281",47.6316950000,-122.2963033300,".",142.8624572800,-0.0021374202,0.0017285134,7.6540446281,26.0000000000
"198","69595055",49.3157424930,-123.1018371600,".",171.5751647900,0.0016644418,0.0001751619,3.8825342655,3.0000000000
"199","69595290",49.3275947570,-123.0863189700,".",197.4092559800,-0.0004855725,-0.0007574948,4.8930821419,66.0000000000
"200","69595515",49.3274345400,-123.0735549900,".",251.3861236600,-0.0006074528,-0.0001841496,1.8916585445,104.0000000000
"201","69689185",49.3091354370,-122.9911499000,".",251.5284118700,0.0015223298,0.0025706759,4.3941717148,23.0000000000
"202","69721399",49.2868232730,-122.9521637000,".",129.2276611300,-0.0012511840,0.0009218043,8.0592355728,77.0000000000
"203","69721567",49.2869148250,-122.9809341400,".",22.3728637700,0.0003234698,0.0006067878,12.0597696300,161.0000000000
"204","69770286",49.3178138730,-122.9447403000,".",106.4327392600,-0.0033587678,-0.0042398754,7.6907849312,10.0000000000
"205","69784473",49.2404022220,-122.9594345100,".",156.1174621600,-0.0015203687,0.0005172404,4.1914911270,20.0000000000
"206","69964682",47.2198500000,-122.3960333300,".",24.6470069890,0.0057194009,0.0000879795,12.2656965260,79.0000000000
"207","69964977",47.1719924370,-122.3142673700,".",291.4009704600,0.0023546838,0.0009491937,11.5577430730,89.0000000000
"208","69965459",47.1795583330,-122.3205633300,".",308.3541259800,-0.0019935090,0.0000790246,9.8357114792,39.0000000000
"209","69971033",47.7549833330,-122.3626333300,".",163.1082000700,-0.0004204036,0.0004623531,5.4397120476,102.0000000000
"210","69971407",47.7476913110,-122.3608824200,".",263.4545593300,0.0000501975,0.0006163705,1.3404175043,154.0000000000
"211","69972018",47.7538950000,-122.3621966700,".",78.1654281620,-0.0041918443,0.0005226187,11.8453989030,111.0000000000
"212","70014534",47.4895343660,-122.4733704300,".",250.2289886500,-0.0003477113,0.0035293042,8.9676170349,86.0000000000
"213","70014877",47.4898427060,-122.4727122900,".",200.6460266100,0.0000116200,-0.0004655948,7.3935494423,91.0000000000
"214","70015042",47.4894727440,-122.4711368200,".",201.4906616200,0.0011546775,0.0004029567,9.5711259842,112.0000000000
"215","70015240",47.4892173900,-122.4708291600,".",190.1423034700,0.0029114883,-0.0019180904,7.7559566498,113.0000000000
"216","70015410",47.4891528470,-122.4708062400,".",190.1423034700,0.0029114883,-0.0019180904,7.7559566498,113.0000000000
"217","70025028",47.5676333330,-122.0942000000,".",35.6593132020,-0.0002875079,-0.0008711187,11.5965633390,39.0000000000
"218","70046682",47.3776645200,-122.0585336700,".",92.1019210820,0.0041883737,0.0033309343,10.7438087460,149.0000000000
"219","70064801",45.4780800000,-122.6536633300,".",170.4681549100,0.0013254159,-0.0000430854,16.2544841770,21.0000000000
"220","70100910",48.4617837100,-123.3459513300,".",150.0102539100,-0.0010654674,-0.0012085565,1.4574614763,60.0000000000
"221","70115506",48.4458444440,-123.4055333300,".",278.0165405300,-0.0002756598,0.0019198155,3.2887752056,12.0000000000
"222","70115701",48.4462944440,-123.4068750000,".",134.5408935500,-0.0011820085,0.0007713916,4.3986845016,8.0000000000
"223","70115719",48.4464472220,-123.4071444400,".",119.2934722900,-0.0004566849,0.0000415776,2.4296572208,7.0000000000
"224","70115736",48.4464472220,-123.4070638900,".",134.5408935500,-0.0011820085,0.0007713916,4.3986845016,8.0000000000
"225","70133946",45.4824362790,-122.7157948500,".",120.7712783800,-0.0032677236,-0.0023080031,3.8126149178,127.0000000000
"226","70145725",49.0138933000,-122.6571850000,".",223.2741241500,0.0002082758,-0.0004725729,3.4319112301,88.0000000000
"227","70155662",49.0329014000,-122.6865643000,".",331.2283325200,0.0005186046,-0.0006615794,8.6548795700,46.0000000000
"228","70155782",49.0324252000,-122.6867404000,".",342.7893066400,-0.0002622078,-0.0010887969,10.9976005550,44.0000000000
"229","70156012",49.0372702000,-122.6856744000,".",256.2895813000,0.0012142650,0.0015640598,3.0581169128,70.0000000000
"230","70156131",49.0374951000,-122.6855776000,".",111.5782852200,0.0014209419,0.0026115803,3.3086693287,70.0000000000
"231","70156277",49.0379219000,-122.6863327000,".",102.9060592700,0.0023747510,-0.0012264827,9.8493881226,61.0000000000
"232","70156394",49.0356754000,-122.6841780000,".",311.6954956100,0.0010300940,0.0001467547,9.8251428604,54.0000000000
"233","70158471",49.0357130000,-122.6847571000,".",283.2257690400,0.0018399369,0.0014426572,4.4561257362,61.0000000000
"234","70173063",46.7450000000,-116.9902860000,".",,,,,
"235","70173315",46.7450000000,-116.9902860000,".",,,,,
"236","70209008",47.7121569720,-122.3705740300,".",134.4012908900,0.0019210128,0.0005013648,3.4851801395,51.0000000000
"237","70261548",49.1637805000,-124.0457750000,".",67.3568496700,-0.0038210421,-0.0015979729,21.0528488160,369.0000000000
