"","ID2","lat","long","el"
"1",4601133,47.71030045,-122.3679733,"."
"2",6913373,48.02434962,-122.6784554,"."
"3",8254344,48.018843,-122.671725,"."
"4",12363639,47.62261508,-117.055775,"."
"5",12563075,46.21370608,-115.5372149,"."
"6",12969530,47.00299848,-116.6770397,"."
"7",19006459,45.48753879,-122.5718281,"."
"8",19184654,47.74309144,-122.310935,"."
"9",20544675,48.47614221,-123.3113131,"."
"10",25981751,48.45745808,-123.3355969,"."
"11",26204238,48.49595899,-123.3322602,"."
"12",26884358,48.45666832,-123.3248364,"."
"13",27216264,48.02048056,-122.6987,"."
"14",27742079,48.77382502,-123.9218527,"."
"15",28711929,48.45953012,-123.3357878,"."
"16",29603942,48.45792034,-123.3131298,"."
"17",32015164,48.43770048,-123.3262594,"."
"18",37020791,48.45221898,-123.3339329,"."
"19",37281634,48.46560986,-123.3000747,"."
"20",48715992,49.2104824,-122.5237505,"."
"21",50208705,45.47232,-122.653725,"."
"22",51552951,49.3392528,-122.9737917,"."
"23",51656142,49.31971722,-122.9689332,"."
"24",51849686,45.51628833,-122.5966417,"."
"25",52964145,47.65097853,-122.3072988,"."
"26",52996969,45.52763667,-122.73137,"."
"27",53230757,49.2409174,-122.8086868,"."
"28",53539955,49.1915136,-122.6040854,"."
"29",53766205,48.46253125,-123.3567978,"."
"30",55095755,45.38801167,-122.8368617,"."
"31",57555960,49.1847693,-122.7737086,"."
"32",57676245,44.85035556,-121.8456972,"."
"33",57888423,49.34402171,-123.0047543,"."
"34",58576022,49.77567643,-123.1109971,"."
"35",58862868,49.3902321,-123.3506585,"."
"36",60516594,49.37687957,-123.3314129,"."
"37",61398540,47.66140262,-122.2832441,"."
"38",61399467,48.17051336,-122.1901979,"."
"39",61400313,47.67512633,-122.2610672,"."
"40",61401102,47.67618442,-122.2620814,"."
"41",61401305,47.67617065,-122.2624613,"."
"42",61401534,48.41794496,-122.5708104,"."
"43",61423931,47.66540029,-122.2830563,"."
"44",61537163,49.55162496,-123.2381865,"."
"45",61624246,47.74947236,-122.2079987,"."
