OID_,field_1,ID2,lat,long,el,Aspect,Profilecurv,Tangentialc,Slope,PNWSRTMDEM,RASTERVALU,VAT_MapunitRaster_10m_Count,VAT_MapunitRaster_10m_MUKEY,muaggatt_OBJECTID,muaggatt_musym,muaggatt_muname,muaggatt_mustatus,muaggatt_slopegraddcp,muaggatt_slopegradwta,muaggatt_brockdepmin,muaggatt_wtdepannmin,muaggatt_wtdepaprjunmin,muaggatt_flodfreqdcd,muaggatt_flodfreqmax,muaggatt_pondfreqprs,muaggatt_aws025wta,muaggatt_aws050wta,muaggatt_aws0100wta,muaggatt_aws0150wta,muaggatt_drclassdcd,muaggatt_drclasswettest,muaggatt_hydgrpdcd,muaggatt_iccdcd,muaggatt_iccdcdpct,muaggatt_niccdcd,muaggatt_niccdcdpct,muaggatt_engdwobdcd,muaggatt_engdwbdcd,muaggatt_engdwbll,muaggatt_engdwbml,muaggatt_engstafdcd,muaggatt_engstafll,muaggatt_engstafml,muaggatt_engsldcd,muaggatt_engsldcp,muaggatt_englrsdcd,muaggatt_engcmssdcd,muaggatt_engcmssmp,muaggatt_urbrecptdcd,muaggatt_urbrecptwta,muaggatt_forpehrtdcp,muaggatt_hydclprs,muaggatt_awmmfpwwta,muaggatt_mukey
625,4,12363639,47.622615078000003,-117.055774979999995,.,,,,,,85915.0000000,,85915,,5060,"Bouldercreek ashy silt loam, moist, 3 to 15 percent slopes",,8.0000000,9.3000002,,,,None,None,0,4.7500000,9.6800003,15.2200003,19.6700001,Well drained,Well drained,A,,100,4,85,Not limited,Not limited,Not limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Fair,Fair,Somewhat limited,0.3510000,Moderate,5,0.6730000,85915
626,1005,92978438,47.966315000000002,-124.040181000000004,.,68.160324097000000,-0.010472308800000,-0.003197476300000,27.937955855999999,504.000000000000000,78323.0000000,,78323,,734H4,"Sorethumb-Blackjack-Constance complex, dissected, 60 to 100 percent north slopes",,75.0000000,76.9000015,30,,,None,None,0,2.6300001,4.5500002,6.0000000,6.3600001,Well drained,Well drained,C,,100,7,90,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Very limited,1.0000000,Severe,0,1.0000000,78323
627,1006,92979320,47.966315000000002,-124.040181000000004,.,68.160324097000000,-0.010472308800000,-0.003197476300000,27.937955855999999,504.000000000000000,78323.0000000,,78323,,734H4,"Sorethumb-Blackjack-Constance complex, dissected, 60 to 100 percent north slopes",,75.0000000,76.9000015,30,,,None,None,0,2.6300001,4.5500002,6.0000000,6.3600001,Well drained,Well drained,C,,100,7,90,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Very limited,1.0000000,Severe,0,1.0000000,78323
628,81,66835176,47.772580539000003,-123.472516459999994,.,277.002105710000023,-0.001306391700000,0.006861803100000,19.935588837000001,998.000000000000000,3168838.0000000,,3168838,,NOTCOM,No Digital Data Available,,,,,,,,,0,,,,,,,,,100,,100,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,,Not rated,0,,3168838
629,294,71552775,47.956676106000003,-122.800918109999998,.,208.970367430000010,-0.000834328500000,-0.001197440100000,2.840779542900000,92.000000000000000,73705.0000000,,73705,,AlC,"Alderwood gravelly sandy loam, 0 to 15 percent slopes",,8.0000000,8.0000000,,68,,None,None,0,2.2400000,4.2399998,6.3200002,6.3200002,Moderately well drained,Moderately well drained,B,,100,4,100,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Fair,Fair,Somewhat limited,0.0110000,Moderate,0,1.0000000,73705
630,607,78542679,47.824779972000002,-123.012994000000006,.,241.730239869999991,-0.001484295800000,-0.004668686100000,5.388207912400000,622.000000000000000,78253.0000000,,78253,,516N7,"Hoodcanal-Sawpeak complex, 30 to 60 percent north slopes",,45.0000000,45.0000000,91,48,,None,None,0,2.0100000,4.0700002,7.7300000,7.7300000,Moderately well drained,Moderately well drained,B/D,,100,7,80,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Fair,Not rated,Very limited,1.0000000,Severe,0,1.0000000,78253
631,408,74384874,47.836661999999997,-122.622726999999998,.,137.440826420000008,0.003867102100000,-0.000429772500000,14.631258965000001,17.000000000000000,74179.0000000,,74179,,10,"Dystric Xerorthents, 45 to 70 percent slopes",,58.0000000,58.0000000,,,,None,None,0,2.0000000,3.0000000,5.0000000,7.0000000,Moderately well drained,Moderately well drained,A,,100,7,100,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Fair,Fair,Very limited,1.0000000,Severe,0,1.0000000,74179
632,667,79687164,47.761247973000003,-122.477359879999995,.,220.339447019999994,-0.001353428900000,-0.001672438800000,2.794292211500000,56.000000000000000,74193.0000000,,74193,,23,"Kapowsin gravelly ashy loam, 6 to 15 percent slopes",,10.0000000,9.5000000,,50,50,None,None,6,6.0500002,10.8900003,13.5699997,14.1899996,Moderately well drained,Moderately well drained,B,,100,3,85,Somewhat limited,Very limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Poor,Fair,Somewhat limited,0.2590000,Moderate,6,1.0000000,74193
633,668,79689651,47.761228903999999,-122.477521319999994,.,278.874603270000023,-0.001767493800000,-0.001263867100000,3.101011991500000,56.000000000000000,74193.0000000,,74193,,23,"Kapowsin gravelly ashy loam, 6 to 15 percent slopes",,10.0000000,9.5000000,,50,50,None,None,6,6.0500002,10.8900003,13.5699997,14.1899996,Moderately well drained,Moderately well drained,B,,100,3,85,Somewhat limited,Very limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Poor,Fair,Somewhat limited,0.2590000,Moderate,6,1.0000000,74193
634,669,79693489,47.760956878999998,-122.477128590000007,.,197.310897829999988,-0.001113244600000,-0.000551670800000,2.943534851100000,56.000000000000000,74193.0000000,,74193,,23,"Kapowsin gravelly ashy loam, 6 to 15 percent slopes",,10.0000000,9.5000000,,50,50,None,None,6,6.0500002,10.8900003,13.5699997,14.1899996,Moderately well drained,Moderately well drained,B,,100,3,85,Somewhat limited,Very limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Poor,Fair,Somewhat limited,0.2590000,Moderate,6,1.0000000,74193
635,704,80291683,47.766039907000000,-122.478818329999996,.,128.515502929999997,0.002065094900000,0.002942553000000,5.038478851300000,46.000000000000000,74193.0000000,,74193,,23,"Kapowsin gravelly ashy loam, 6 to 15 percent slopes",,10.0000000,9.5000000,,50,50,None,None,6,6.0500002,10.8900003,13.5699997,14.1899996,Moderately well drained,Moderately well drained,B,,100,3,85,Somewhat limited,Very limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Poor,Fair,Somewhat limited,0.2590000,Moderate,6,1.0000000,74193
636,705,80297041,47.751726349000002,-122.478326910000007,.,202.711837769999988,-0.001193334300000,-0.000047135200000,2.953314542800000,51.000000000000000,74234.0000000,,74234,,60,"Sinclair very gravelly sandy loam, 8 to 15 percent slopes",,12.0000000,11.6000004,,61,,None,None,5,1.8500000,4.0999999,5.3600001,5.3600001,Moderately well drained,Moderately well drained,B,,100,4,95,Somewhat limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Fair,Not rated,Somewhat limited,0.0030000,Moderate,5,1.0000000,74234
637,738,81358872,47.760767563999998,-122.478224229999995,.,327.547760009999990,0.001179246500000,-0.000109876900000,3.421237707100000,59.000000000000000,74210.0000000,,74210,,39,"Poulsbo gravelly sandy loam, 0 to 6 percent slopes",,3.0000000,3.0000000,,53,,None,None,5,3.0000000,6.0000000,7.3200002,7.3200002,Moderately well drained,Moderately well drained,B/D,,100,4,95,Somewhat limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Fair,Not rated,Somewhat limited,0.1090000,Slight,5,1.0000000,74210
638,739,81363664,47.762742324000001,-122.474506329999997,.,231.761062619999990,-0.001777033400000,-0.000769279900000,3.038931846600000,41.000000000000000,74193.0000000,,74193,,23,"Kapowsin gravelly ashy loam, 6 to 15 percent slopes",,10.0000000,9.5000000,,50,50,None,None,6,6.0500002,10.8900003,13.5699997,14.1899996,Moderately well drained,Moderately well drained,B,,100,3,85,Somewhat limited,Very limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Poor,Fair,Somewhat limited,0.2590000,Moderate,6,1.0000000,74193
639,763,82203093,47.761589829000002,-122.477397019999998,.,245.914443970000008,-0.000336955200000,0.000478930000000,2.811279296900000,59.000000000000000,74193.0000000,,74193,,23,"Kapowsin gravelly ashy loam, 6 to 15 percent slopes",,10.0000000,9.5000000,,50,50,None,None,6,6.0500002,10.8900003,13.5699997,14.1899996,Moderately well drained,Moderately well drained,B,,100,3,85,Somewhat limited,Very limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Poor,Fair,Somewhat limited,0.2590000,Moderate,6,1.0000000,74193
640,764,82220359,47.761390824000003,-122.476862229999995,.,206.490921020000002,0.000543019700000,-0.001089531600000,2.209047555900000,58.000000000000000,74193.0000000,,74193,,23,"Kapowsin gravelly ashy loam, 6 to 15 percent slopes",,10.0000000,9.5000000,,50,50,None,None,6,6.0500002,10.8900003,13.5699997,14.1899996,Moderately well drained,Moderately well drained,B,,100,3,85,Somewhat limited,Very limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Poor,Fair,Somewhat limited,0.2590000,Moderate,6,1.0000000,74193
641,791,82745879,47.760820520000003,-122.477416649999995,.,232.504684450000013,-0.001761326000000,-0.001665876900000,2.101104974700000,55.000000000000000,74193.0000000,,74193,,23,"Kapowsin gravelly ashy loam, 6 to 15 percent slopes",,10.0000000,9.5000000,,50,50,None,None,6,6.0500002,10.8900003,13.5699997,14.1899996,Moderately well drained,Moderately well drained,B,,100,3,85,Somewhat limited,Very limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Poor,Fair,Somewhat limited,0.2590000,Moderate,6,1.0000000,74193
