,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
"32",57676245,44.8503555556,-121.8456972222,-9999,6.2,15,-1.3,16.3,1909,292,8.5,51.5,312,1278,4305,28,197,159,275,115,421,-26.9,34.6,14,714,249,64,135.72,499
"33",57888423,49.3440217133,-123.0047542833,-9999,9.2,17,2,15,2124,446,9.1,38.2,133,1919,3269,76,291,96,309,214,112,-18.4,34.3,11.6,622,77,75,162.99,840
"34",58576022,49.77567643,-123.1109970667,-9999,7.7,16.3,-0.4,16.6,2381,442,7.4,36.8,238,1633,3781,52,249,119,292,173,297,-23.6,34.4,11.7,618,106,72,189.58,698
"35",58862868,49.3902320967,-123.3506584733,-9999,9.7,17.2,2.8,14.4,1532,312,12.8,55.2,111,2003,3124,82,303,85,315,230,62,-16.7,34.1,11.4,607,140,77,105.03,880
"36",60516594,49.3768795717,-123.331412925,-9999,9.9,17.4,3,14.4,1459,296,13.6,58.8,105,2064,3054,90,307,82,316,235,54,-16.2,34.3,11.3,613,157,77,96.86,915
"37",61398540,47.6614026155,-122.2832440962,-9999,11,17.9,4.2,13.7,947,187,22.1,95.6,72,2352,2689,122,317,81,322,241,20,-14.7,35.8,11.6,741,335,71,32.25,1076
"38",61399467,48.1705133577,-122.1901978925,-9999,10.3,17,3.8,13.2,1152,293,17.7,57.9,82,2159,2874,83,306,92,314,222,28,-16.3,35.3,11.5,727,217,70,54.59,935
"39",61400313,47.6751263319,-122.2610672191,-9999,11,18,4.3,13.7,942,188,22.3,95.4,72,2365,2678,125,317,81,322,242,20,-14.6,35.9,11.5,744,336,71,31.55,1085
"40",61401102,47.6761844239,-122.2620814294,-9999,11,18,4.3,13.7,943,189,22.3,95.2,72,2361,2681,124,317,81,322,241,20,-14.6,35.9,11.5,743,336,71,31.63,1083
"41",61401305,47.6761706532,-122.2624612972,-9999,11,18,4.3,13.7,943,189,22.3,95.1,72,2360,2682,124,317,81,322,241,20,-14.7,35.9,11.5,743,336,71,31.64,1082
"42",61401534,48.4179449564,-122.5708103925,-9999,9.9,16,3.8,12.2,665,168,29.9,95.3,84,1992,3017,55,307,89,313,224,17,-16.1,33.9,-9999,676,318,72,11.89,805
"43",61423931,47.6654002946,-122.2830562674,-9999,10.9,17.9,4.2,13.7,947,188,22.1,95.1,73,2345,2697,121,316,81,322,240,20,-14.7,35.8,11.6,741,334,71,32.3,1071
"44",61537163,49.5516249567,-123.2381864917,-9999,8.3,16.3,1.2,15.1,2326,468,7.9,34.9,170,1702,3560,53,276,105,303,198,179,-20.1,33.6,10.9,591,58,76,187.67,714
"45",61624246,47.7494723567,-122.2079986731,-9999,10.6,17.6,3.8,13.8,1027,218,20.1,80.6,81,2248,2807,106,309,90,317,227,26,-15.6,35.8,11.1,744,306,70,40.41,1011
"46",61624408,47.750082372,-122.2083493488,-9999,10.6,17.6,3.8,13.8,1027,219,20.1,80.5,81,2247,2807,106,309,90,317,227,26,-15.6,35.8,11.1,744,306,70,40.41,1011
"47",61624619,47.750931613,-122.2077266787,-9999,10.6,17.6,3.8,13.8,1027,219,20,80.5,81,2247,2808,106,309,90,317,227,26,-15.7,35.8,11.2,744,306,70,40.44,1010
"48",61923541,49.6453608117,-123.2046451717,-9999,8.9,16.9,1.4,15.4,2129,417,8.9,40.4,154,1859,3378,71,281,101,305,203,140,-19.8,34.4,-9999,625,106,74,164.16,809
"49",62133383,47.1943095793,-121.9153992088,-9999,8.8,16.1,1.9,14.1,1655,418,11.4,38.5,135,1770,3395,50,271,122,298,176,88,-19.9,34.8,11.6,720,130,69,108.23,723
"50",62139519,47.188739637,-122.3279077002,-9999,10.8,18,3.8,14.1,1027,210,20.2,85.5,80,2307,2762,120,305,95,314,219,26,-16.2,36.5,11.2,790,345,68,35.76,1060
"51",62243128,48.4605392581,-122.603415996,-9999,10,16.5,3.6,12.9,704,172,28.4,96,88,2037,2998,67,308,89,316,227,20,-16,34,11.6,678,320,73,15.51,855
"52",62250074,48.4631052101,-122.6036728175,-9999,10,16.5,3.6,12.9,704,172,28.3,96,88,2038,2998,67,308,89,316,227,20,-16,34,11.6,678,320,73,15.5,855
"53",62264694,48.4735473851,-122.6052082983,-9999,10,16.5,3.6,12.9,706,171,28.3,96.1,87,2037,2994,66,308,89,316,227,20,-16,34.1,11.5,680,320,73,15.5,853
"54",63186072,47.5499451813,-122.2555292119,-9999,11.2,18.2,4.5,13.8,924,171,22.9,106.8,68,2425,2619,139,319,77,324,246,19,-14.3,36.1,11.4,752,365,71,28.68,1128
"55",63253840,47.4873686833,-121.7194069,-9999,8.2,15.7,1.1,14.7,2413,517,7.5,30.4,169,1650,3600,43,258,131,295,164,189,-21.1,34.2,13.3,704,89,69,185.97,667
"56",63255638,47.4874740833,-121.719034,-9999,8.2,15.7,1,14.7,2419,518,7.5,30.3,169,1648,3604,42,258,131,295,164,191,-21.1,34.2,13.3,703,88,69,186.66,665
"57",63298788,47.30351667,-122.516525,-9999,11,18.1,4.1,14,1062,191,19.7,94.7,75,2366,2695,132,311,89,318,229,25,-15.4,36.5,11.3,780,361,69,40.21,1098
"58",63298939,47.49236667,-122.06390283,-9999,10,17.3,2.9,14.4,1393,307,14.4,56.3,102,2102,3009,91,295,105,310,205,49,-17.5,35.8,12,751,228,69,76.82,936
"59",63522352,48.77449167,-122.48045333,-9999,9.8,16.8,2.8,14.1,978,236,20.2,71.3,103,2023,3069,73,293,101,307,206,34,-18.3,34.5,11.5,702,261,70,40.33,869
"60",63842953,46.9126149119,-122.928994596,-9999,10.2,17.5,3.4,14.1,1249,208,16.2,84.2,92,2151,2934,97,290,113,304,191,41,-17.3,36.9,11.6,811,362,66,56.98,961
"61",63843211,46.9305018039,-122.9364521429,-9999,10.2,17.6,3.4,14.1,1255,208,16.1,84.6,91,2160,2925,99,290,112,305,192,41,-17.2,36.9,11.6,812,366,66,57.43,968
"62",64575034,48.73001167,-122.30381667,-9999,8.8,16.3,1.6,14.7,2089,462,9,35.3,141,1773,3414,54,265,123,295,172,120,-21.1,34.7,12,701,109,68,152.11,737
"63",64707952,49.3241004942,-122.9444732664,-9999,9.5,17.3,2.3,15,1981,416,9.9,41.6,123,2003,3165,87,296,91,312,220,93,-18,34.6,11.6,633,97,75,147.1,893
"64",65241620,46.7251093693,-117.0099777327,-9999,8.1,18.8,-2.6,21.4,655,191,27.6,98.5,315,1919,3728,129,222,130,278,148,105,-28.2,38.6,13.9,817,450,62,-7.65,937
"65",65344987,47.0751628056,-122.9717604071,-9999,10.4,17.8,3.6,14.3,1283,213,15.9,83.6,89,2220,2869,111,294,109,307,198,40,-16.8,37.1,11.5,815,364,66,59.54,1012
"66",65345686,47.0734039722,-122.974052,-9999,10.4,17.8,3.5,14.3,1285,213,15.9,83.6,89,2219,2869,110,294,109,307,198,40,-16.8,37.1,11.5,815,364,66,59.75,1011
"67",65346596,47.073191,-122.973572,-9999,10.4,17.8,3.5,14.3,1285,213,15.9,83.6,89,2219,2870,110,294,109,307,198,40,-16.8,37.1,11.5,815,364,66,59.74,1011
"68",65827522,47.24783333,-122.48095833,-9999,10.6,17.8,3.8,14,1029,201,20,88.6,83,2260,2809,111,304,97,314,218,27,-16.2,36.2,11.7,775,346,69,38,1028
"69",65827983,47.24966333,-122.48195,-9999,10.6,17.8,3.8,14,1029,200,20,88.8,82,2264,2804,112,304,96,314,218,27,-16.2,36.2,11.7,775,346,69,37.97,1031
"70",65828255,47.667575,-122.28566667,-9999,10.9,17.9,4.2,13.7,948,189,22.1,94.7,73,2337,2705,119,316,82,321,240,21,-14.8,35.8,11.6,741,333,71,32.45,1066
"71",65988466,47.869898,-117.15701,-9999,6.9,18.7,-4.5,23.2,896,224,18.9,83.2,473,1761,4138,116,201,136,275,139,277,-31.4,37.6,13.7,745,377,62,23.48,866
"72",66016390,49.213897705,-122.9076461792,-9999,9.9,17.6,2.6,15,1475,311,13.5,56.6,112,2114,3035,103,300,88,313,225,60,-17.5,35.1,11.7,656,170,74,94.28,960
"73",66054060,47.7240478,-122.24479483,-9999,10.8,17.8,4,13.8,978,202,21.3,88,76,2305,2745,116,313,86,320,234,23,-15.1,35.9,11.3,744,323,71,35.28,1048
"74",66054151,47.72321235,-122.24449684,-9999,10.8,17.8,4,13.8,977,202,21.3,88.1,76,2306,2744,116,313,86,320,234,23,-15.1,35.9,11.3,744,323,71,35.21,1049
"75",66062190,47.7237474,-122.2460907,-9999,10.8,17.8,4,13.8,976,202,21.3,88.2,76,2306,2744,116,313,85,320,234,23,-15.1,35.9,11.3,744,323,71,35.14,1049
"76",66197132,47.54998579,-122.25541078,-9999,11.2,18.2,4.5,13.8,924,171,22.9,106.8,68,2426,2619,139,319,77,324,246,19,-14.3,36.1,11.4,752,365,71,28.68,1128
"77",66312732,47.337491,-122.78079,-9999,10.8,18.1,4,14.1,1276,207,16.3,87.4,79,2312,2756,124,306,95,315,220,33,-15.6,36.9,11.5,787,349,68,61.07,1065
"78",66362924,48.7561284146,-122.4399149046,-9999,9.6,16.8,2.4,14.4,1128,270,17.4,62.3,113,1983,3139,73,287,105,305,199,45,-19,34.6,11.4,700,226,70,55.76,855
"79",66390991,47.5853700039,-121.7307021417,-9999,8.4,16.1,1,15.1,2088,469,8.8,34.3,169,1728,3527,51,259,130,296,166,159,-21.1,34.7,11.8,720,121,68,152.05,719
"80",66585862,47.302145,-122.52431333,-9999,11,18.1,4.1,14,1070,192,19.6,94.7,75,2367,2695,132,311,89,318,229,25,-15.3,36.5,11.6,780,359,69,40.92,1098
"81",66835176,47.7725805394,-123.4725164625,-9999,6.3,13.7,-0.2,13.9,3392,523,4.8,26.3,247,1155,4278,17,227,146,290,144,536,-23.8,31.5,11.3,572,51,72,298.51,391
"82",66837428,48.0279406462,-122.7745359278,-9999,9.8,16.1,3.7,12.4,596,154,33.3,104.6,86,1983,3034,56,304,91,312,221,16,-16.1,34.4,11.8,683,338,72,4.87,803
"83",66966170,47.35965333,-122.59307833,-9999,10.8,18,4,14,1216,206,17.1,87.6,79,2315,2751,123,308,92,317,225,31,-15.5,36.4,11.6,773,339,69,56.48,1066
"84",66966372,47.35971167,-122.59216333,-9999,10.8,18,4,14,1216,206,17.1,87.6,79,2315,2752,123,308,92,317,225,31,-15.5,36.4,11.6,773,339,69,56.41,1065
"85",67182029,47.7023001324,-122.3092648925,-9999,10.5,17.5,3.8,13.7,953,197,21.6,88.9,81,2230,2820,101,309,89,317,228,24,-15.7,35.6,11.6,735,320,71,34.14,995
"86",67207257,46.72489167,-117.01312222,-9999,8.1,18.8,-2.6,21.4,653,190,27.7,99,314,1921,3725,129,223,130,278,148,104,-28.2,38.6,14,817,450,62,-7.92,938
"87",67542612,47.6252466667,-122.2997966667,-9999,10.9,17.9,4.2,13.7,946,182,22.1,98,73,2339,2704,120,316,81,322,241,21,-14.8,35.8,11.4,738,337,71,32.73,1067
"88",67542762,47.635475,-122.3067633333,-9999,10.9,17.8,4.2,13.7,946,183,22.1,97.4,73,2332,2710,119,316,82,321,240,21,-14.8,35.8,11.4,738,336,71,32.6,1063
"89",67548524,47.6256466667,-122.32447,-9999,10.9,17.8,4.2,13.7,938,178,22.3,99.9,74,2326,2716,117,315,82,321,239,21,-14.9,35.7,11.4,738,342,71,31.94,1059
"90",67558333,47.6307916667,-122.3163216667,-9999,10.9,17.8,4.2,13.7,942,181,22.2,98.6,74,2328,2714,118,315,82,321,239,21,-14.9,35.7,11.4,738,341,71,32.31,1060
"91",67590491,47.4658932933,-122.4595996596,-9999,10.8,17.8,4,13.8,1222,205,17,87,77,2295,2759,115,311,88,319,231,30,-15.3,36,6,753,326,70,59.19,1044
