OID_,field_1,ID2,lat,long,el,Aspect,Profilecurv,Tangentialc,Slope,PNWSRTMDEM,RASTERVALU,VAT_MapunitRaster_10m_Count,VAT_MapunitRaster_10m_MUKEY,muaggatt_OBJECTID,muaggatt_musym,muaggatt_muname,muaggatt_mustatus,muaggatt_slopegraddcp,muaggatt_slopegradwta,muaggatt_brockdepmin,muaggatt_wtdepannmin,muaggatt_wtdepaprjunmin,muaggatt_flodfreqdcd,muaggatt_flodfreqmax,muaggatt_pondfreqprs,muaggatt_aws025wta,muaggatt_aws050wta,muaggatt_aws0100wta,muaggatt_aws0150wta,muaggatt_drclassdcd,muaggatt_drclasswettest,muaggatt_hydgrpdcd,muaggatt_iccdcd,muaggatt_iccdcdpct,muaggatt_niccdcd,muaggatt_niccdcdpct,muaggatt_engdwobdcd,muaggatt_engdwbdcd,muaggatt_engdwbll,muaggatt_engdwbml,muaggatt_engstafdcd,muaggatt_engstafll,muaggatt_engstafml,muaggatt_engsldcd,muaggatt_engsldcp,muaggatt_englrsdcd,muaggatt_engcmssdcd,muaggatt_engcmssmp,muaggatt_urbrecptdcd,muaggatt_urbrecptwta,muaggatt_forpehrtdcp,muaggatt_hydclprs,muaggatt_awmmfpwwta,muaggatt_mukey,component_OBJECTID,component_comppct_l,component_comppct_r,component_comppct_h,component_compname,component_compkind,component_majcompflag,component_otherph,component_localphase,component_slope_l,component_slope_r,component_slope_h,component_slopelenusle_l,component_slopelenusle_r,component_slopelenusle_h,component_runoff,component_tfact,component_wei,component_weg,component_erocl,component_earthcovkind1,component_earthcovkind2,component_hydricon,component_hydricrating,component_drainagecl,component_elev_l,component_elev_r,component_elev_h,component_aspectccwise,component_aspectrep,component_aspectcwise,component_geomdesc,component_albedodry_l,component_albedodry_r,component_albedodry_h,component_airtempa_l,component_airtempa_r,component_airtempa_h,component_map_l,component_map_r,component_map_h,component_reannualprecip_l,component_reannualprecip_r,component_reannualprecip_h,component_ffd_l,component_ffd_r,component_ffd_h,component_nirrcapcl,component_nirrcapscl,component_nirrcapunit,component_irrcapcl,component_irrcapscl,component_irrcapunit,component_cropprodindex,component_constreeshrubgrp,component_wndbrksuitgrp,component_rsprod_l,component_rsprod_r,component_rsprod_h,component_foragesuitgrpid,component_wlgrain,component_wlgrass,component_wlherbaceous,component_wlshrub,component_wlconiferous,component_wlhardwood,component_wlwetplant,component_wlshallowwat,component_wlrangeland,component_wlopenland,component_wlwoodland,component_wlwetland,component_soilslippot,component_frostact,component_initsub_l,component_initsub_r,component_initsub_h,component_totalsub_l,component_totalsub_r,component_totalsub_h,component_hydgrp,component_corcon,component_corsteel,component_taxclname,component_taxorder,component_taxsuborder,component_taxgrtgroup,component_taxsubgrp,component_taxpartsize,component_taxpartsizemod,component_taxceactcl,component_taxreaction,component_taxtempcl,component_taxmoistscl,component_taxtempregime,component_soiltaxedition,component_castorieindex,component_flecolcomnum,component_flhe,component_flphe,component_flsoilleachpot,component_flsoirunoffpot,component_fltemik2use,component_fltriumph2use,component_indraingrp,component_innitrateleachi,component_misoimgmtgrp,component_vasoimgtgrp,component_mukey,component_cokey
60,433,74490884,45.579272222000000,-122.573833329999999,.,174.252365110000000,0.000892281000000,-0.001544965300000,3.828960418700000,7.000000000000000,61809.0000000,,61809,,33A,"Pilchuck-Urban land complex, 0 to 3 percent slopes",,2.0000000,1.9000000,,,,Rare,Rare,10,2.4800000,4.8899999,9.5900002,14.1199999,Somewhat excessively drained,Somewhat excessively drained,A,,92,4,50,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Good,Good,Very limited,1.0000000,Slight,15,1.0000000,61809,,,5,,Moag,Series,No ,,,0.0000000,1.0000000,1.0000000,,,,,5,38,7,,,,Wooded under natural conditions,Yes,Very poorly drained,0.0000000,3.0000000,6.0000000,,,,flood plains,0.3000000,0.3000000,0.3700000,11.0000000,12.0000000,12.0000000,1016,1270,1524,,,,165,188,210,3,w,,3,w,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,D,Moderate,Moderate,"Fine, mixed, nonacid, mesic Typic Fluvaquents",Entisols,Aquents,Fluvaquents,Typic Fluvaquents,fine,,,nonacid,mesic,,mesic,,,,,,,,N/A,N/A,,,,,61809,20854478
61,437,74491218,45.579272222000000,-122.573833329999999,.,174.252365110000000,0.000892281000000,-0.001544965300000,3.828960418700000,7.000000000000000,61809.0000000,,61809,,33A,"Pilchuck-Urban land complex, 0 to 3 percent slopes",,2.0000000,1.9000000,,,,Rare,Rare,10,2.4800000,4.8899999,9.5900002,14.1199999,Somewhat excessively drained,Somewhat excessively drained,A,,92,4,50,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Good,Good,Very limited,1.0000000,Slight,15,1.0000000,61809,,,5,,Moag,Series,No ,,,0.0000000,1.0000000,1.0000000,,,,,5,38,7,,,,Wooded under natural conditions,Yes,Very poorly drained,0.0000000,3.0000000,6.0000000,,,,flood plains,0.3000000,0.3000000,0.3700000,11.0000000,12.0000000,12.0000000,1016,1270,1524,,,,165,188,210,3,w,,3,w,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,D,Moderate,Moderate,"Fine, mixed, nonacid, mesic Typic Fluvaquents",Entisols,Aquents,Fluvaquents,Typic Fluvaquents,fine,,,nonacid,mesic,,mesic,,,,,,,,N/A,N/A,,,,,61809,20854478
62,439,74493312,45.579272222000000,-122.573833329999999,.,174.252365110000000,0.000892281000000,-0.001544965300000,3.828960418700000,7.000000000000000,61809.0000000,,61809,,33A,"Pilchuck-Urban land complex, 0 to 3 percent slopes",,2.0000000,1.9000000,,,,Rare,Rare,10,2.4800000,4.8899999,9.5900002,14.1199999,Somewhat excessively drained,Somewhat excessively drained,A,,92,4,50,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Good,Good,Very limited,1.0000000,Slight,15,1.0000000,61809,,,5,,Moag,Series,No ,,,0.0000000,1.0000000,1.0000000,,,,,5,38,7,,,,Wooded under natural conditions,Yes,Very poorly drained,0.0000000,3.0000000,6.0000000,,,,flood plains,0.3000000,0.3000000,0.3700000,11.0000000,12.0000000,12.0000000,1016,1270,1524,,,,165,188,210,3,w,,3,w,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,D,Moderate,Moderate,"Fine, mixed, nonacid, mesic Typic Fluvaquents",Entisols,Aquents,Fluvaquents,Typic Fluvaquents,fine,,,nonacid,mesic,,mesic,,,,,,,,N/A,N/A,,,,,61809,20854478
63,442,74548406,45.472778333000001,-122.502833330000001,.,111.848365779999995,0.000072678500000,0.000965099100000,6.691376209300000,169.000000000000000,61868.0000000,,61868,,7C,"Cascade silt loam, 8 to 15 percent slopes",,12.0000000,12.0000000,,61,61,None,None,0,4.7500000,9.5000000,13.2399998,13.7399998,Somewhat poorly drained,Somewhat poorly drained,C,3,90,3,90,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.0130000,Severe,0,1.0000000,61868,,,90,,Cascade,Series,Yes,,,8.0000000,12.0000000,15.0000000,,,,,4,56,5,,,,,No,Somewhat poorly drained,76.0000000,252.0000000,427.0000000,180,0,180,hillslopes,0.2300000,0.2300000,0.2300000,10.0000000,11.0000000,12.0000000,1270,1397,1524,,,,165,188,210,3,e,,3,e,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,C,Moderate,High,"Fine-silty, mixed, mesic Typic Fragiumbrepts",Inceptisols,Umbrepts,Fragiumbrepts,Typic Fragiumbrepts,fine-silty,,,not used,mesic,Oxyaquic,mesic,,,,,,,,N/A,N/A,,,,,61868,20854385
64,455,74735203,45.497146147999999,-122.671727489999995,.,311.735412600000018,-0.001254987100000,-0.001942925400000,3.531054258300000,12.000000000000000,61840.0000000,,61840,,50A,"Urban land, 0 to 3 percent slopes",,2.0000000,2.0000000,,,,None,None,0,,,,,,,,,100,8,100,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,,Not rated,0,,61840,,,100,,Urban land,Miscellaneous area,Yes,,,0.0000000,2.0000000,3.0000000,,,,,,,,,,,,No,,6.0000000,11.0000000,15.0000000,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,61840,20854312
65,459,74786490,45.477400416999998,-122.458059770000006,.,91.175170898000005,0.000010919600000,0.001083871700000,2.018560409500000,124.000000000000000,61867.0000000,,61867,,7B,"Cascade silt loam, 3 to 8 percent slopes",,6.0000000,6.0000000,,61,61,None,None,0,4.7500000,9.5000000,13.2399998,13.7399998,Somewhat poorly drained,Somewhat poorly drained,C,3,90,3,90,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.0130000,Moderate,0,1.0000000,61867,,,90,,Cascade,Series,Yes,,,3.0000000,6.0000000,8.0000000,,,,,4,56,5,,,,,No,Somewhat poorly drained,76.0000000,252.0000000,427.0000000,,,,hillslopes,0.2300000,0.2300000,0.2300000,10.0000000,11.0000000,12.0000000,1270,1397,1524,,,,165,188,210,3,w,,3,w,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,C,Moderate,High,"Fine-silty, mixed, mesic Typic Fragiumbrepts",Inceptisols,Umbrepts,Fragiumbrepts,Typic Fragiumbrepts,fine-silty,,,not used,mesic,Oxyaquic,mesic,,,,,,,,N/A,N/A,,,,,61867,20854384
66,467,74803282,45.577878333000001,-122.778419999999997,.,135.515823360000013,0.000063465200000,-0.002931913100000,23.359491347999999,275.000000000000000,61775.0000000,,61775,,17E,"Goble silt loam, 30 to 60 percent slopes",,45.0000000,45.0000000,,82,82,None,None,0,5.5000000,10.5000000,19.8999996,22.3999996,Well drained,Well drained,C,,85,6,85,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1.0000000,Severe,0,1.0000000,61775,,,85,,Goble,Series,Yes,,,30.0000000,45.0000000,60.0000000,,,,,4,56,5,,,,,No,Well drained,61.0000000,275.0000000,488.0000000,338,68,158,hillslopes,0.1600000,0.2300000,0.2300000,8.0000000,9.0000000,10.0000000,1524,1651,1778,,,,120,143,165,6,e,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,C,High,High,"Medial, mesic Andic Fragiumbrepts",Inceptisols,Umbrepts,Fragiumbrepts,Andic Fragiumbrepts,medial,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61775,20854364
67,468,74803766,45.575791666999997,-122.770661669999996,.,299.022216800000024,-0.000470601000000,0.003773091100000,11.820432663000000,261.000000000000000,61773.0000000,,61773,,17C,"Goble silt loam, 3 to 15 percent slopes",,9.0000000,9.0000000,,82,82,None,None,0,5.5000000,10.5000000,19.8999996,22.3999996,Well drained,Well drained,C,,85,6,85,Very limited,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Not limited,0.0000000,Severe,0,1.0000000,61773,,,85,,Goble,Series,Yes,,,3.0000000,9.0000000,15.0000000,,,,,4,56,5,,,,,No,Well drained,61.0000000,275.0000000,488.0000000,248,0,113,hillslopes,0.1600000,0.2300000,0.2300000,8.0000000,9.0000000,10.0000000,1524,1651,1778,,,,120,143,165,6,e,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,C,High,High,"Medial, mesic Andic Fragiumbrepts",Inceptisols,Umbrepts,Fragiumbrepts,Andic Fragiumbrepts,medial,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61773,20854362
68,476,74941340,45.479819444000000,-122.515283330000003,.,95.354843140000000,0.000400086400000,0.000669391200000,1.656085968000000,76.000000000000000,61805.0000000,,61805,,30A,"Multnomah-Urban land complex, 0 to 3 percent slopes",,2.0000000,2.0000000,,,,None,None,0,4.9000001,9.3999996,18.2600002,20.2600002,Well drained,Well drained,B,3,50,3,50,Not limited,Not limited,Not limited,Not rated,Very limited,Not rated,Very limited,Very limited,Very limited,Not limited,Fair,Not rated,Somewhat limited,0.0240000,Slight,0,1.0000000,61805,,,50,,Multnomah,Series,Yes,,,0.0000000,2.0000000,3.0000000,,,,,3,56,5,,,,,No,Well drained,46.0000000,84.0000000,122.0000000,,,,terraces,0.1600000,0.1600000,0.2300000,11.0000000,12.0000000,12.0000000,1016,1270,1524,,,,165,188,210,3,s,,3,s,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,B,Moderate,High,"Fine-loamy over sandy or sandy-skeletal, mixed, mesic Dystric Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Xerochrepts,fine-loamy over sandy or sandy-skeletal,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61805,20854464
69,478,74984092,45.327363888999997,-122.569716670000005,.,108.060707089999994,-0.000420227700000,0.000443296600000,2.828911781300000,126.000000000000000,61746.0000000,,61746,,8B,"Bornstedt silt loam, 0 to 8 percent slopes",,4.0000000,4.0000000,,76,76,None,None,0,4.0100002,7.8200002,15.1999998,22.2700005,Moderately well drained,Moderately well drained,C,,91,2,85,Not limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Poor,Not rated,Somewhat limited,0.0660000,Moderate,6,1.0000000,61746,,,5,,Borges,Series,No ,,,0.0000000,4.0000000,8.0000000,,,,,5,38,7,,,,Wooded under natural conditions,Yes,Poorly drained,91.0000000,145.0000000,198.0000000,,,,"hillslopes, depressions on terraces",0.1600000,0.1600000,0.2300000,10.0000000,11.0000000,11.0000000,1219,1435,1651,,,,140,170,200,4,w,,,,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,D,Moderate,Moderate,"Fine, mixed, nonacid, mesic Typic Humaquepts",Inceptisols,Aquepts,Humaquepts,Typic Humaquepts,fine,,,nonacid,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61746,20855622
