OID_,field_1,ID2,lat,long,el,Aspect,Profilecurv,Tangentialc,Slope,PNWSRTMDEM,RASTERVALU,VAT_MapunitRaster_10m_Count,VAT_MapunitRaster_10m_MUKEY,muaggatt_OBJECTID,muaggatt_musym,muaggatt_muname,muaggatt_mustatus,muaggatt_slopegraddcp,muaggatt_slopegradwta,muaggatt_brockdepmin,muaggatt_wtdepannmin,muaggatt_wtdepaprjunmin,muaggatt_flodfreqdcd,muaggatt_flodfreqmax,muaggatt_pondfreqprs,muaggatt_aws025wta,muaggatt_aws050wta,muaggatt_aws0100wta,muaggatt_aws0150wta,muaggatt_drclassdcd,muaggatt_drclasswettest,muaggatt_hydgrpdcd,muaggatt_iccdcd,muaggatt_iccdcdpct,muaggatt_niccdcd,muaggatt_niccdcdpct,muaggatt_engdwobdcd,muaggatt_engdwbdcd,muaggatt_engdwbll,muaggatt_engdwbml,muaggatt_engstafdcd,muaggatt_engstafll,muaggatt_engstafml,muaggatt_engsldcd,muaggatt_engsldcp,muaggatt_englrsdcd,muaggatt_engcmssdcd,muaggatt_engcmssmp,muaggatt_urbrecptdcd,muaggatt_urbrecptwta,muaggatt_forpehrtdcp,muaggatt_hydclprs,muaggatt_awmmfpwwta,muaggatt_mukey,component_OBJECTID,component_comppct_l,component_comppct_r,component_comppct_h,component_compname,component_compkind,component_majcompflag,component_otherph,component_localphase,component_slope_l,component_slope_r,component_slope_h,component_slopelenusle_l,component_slopelenusle_r,component_slopelenusle_h,component_runoff,component_tfact,component_wei,component_weg,component_erocl,component_earthcovkind1,component_earthcovkind2,component_hydricon,component_hydricrating,component_drainagecl,component_elev_l,component_elev_r,component_elev_h,component_aspectccwise,component_aspectrep,component_aspectcwise,component_geomdesc,component_albedodry_l,component_albedodry_r,component_albedodry_h,component_airtempa_l,component_airtempa_r,component_airtempa_h,component_map_l,component_map_r,component_map_h,component_reannualprecip_l,component_reannualprecip_r,component_reannualprecip_h,component_ffd_l,component_ffd_r,component_ffd_h,component_nirrcapcl,component_nirrcapscl,component_nirrcapunit,component_irrcapcl,component_irrcapscl,component_irrcapunit,component_cropprodindex,component_constreeshrubgrp,component_wndbrksuitgrp,component_rsprod_l,component_rsprod_r,component_rsprod_h,component_foragesuitgrpid,component_wlgrain,component_wlgrass,component_wlherbaceous,component_wlshrub,component_wlconiferous,component_wlhardwood,component_wlwetplant,component_wlshallowwat,component_wlrangeland,component_wlopenland,component_wlwoodland,component_wlwetland,component_soilslippot,component_frostact,component_initsub_l,component_initsub_r,component_initsub_h,component_totalsub_l,component_totalsub_r,component_totalsub_h,component_hydgrp,component_corcon,component_corsteel,component_taxclname,component_taxorder,component_taxsuborder,component_taxgrtgroup,component_taxsubgrp,component_taxpartsize,component_taxpartsizemod,component_taxceactcl,component_taxreaction,component_taxtempcl,component_taxmoistscl,component_taxtempregime,component_soiltaxedition,component_castorieindex,component_flecolcomnum,component_flhe,component_flphe,component_flsoilleachpot,component_flsoirunoffpot,component_fltemik2use,component_fltriumph2use,component_indraingrp,component_innitrateleachi,component_misoimgmtgrp,component_vasoimgtgrp,component_mukey,component_cokey
48,421,74457826,45.335416666999997,-122.573586109999994,.,129.975448610000001,-0.004282987700000,-0.003301058700000,5.319823741900000,106.000000000000000,61752.0000000,,61752,,91C,"Woodburn silt loam, 8 to 15 percent slopes",,12.0000000,11.8000002,,64,81,None,None,2,5.0100002,10.0100002,19.8500004,29.6800003,Moderately well drained,Moderately well drained,C,2,90,2,90,Somewhat limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Poor,Not rated,Very limited,1.0000000,Severe,3,1.0000000,61752,,,1,,Aquolls,Taxon above family,No ,,,,,,,,,,,,,,,,Wooded under natural conditions,Yes,,,,,,,,flood plains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aquolls,Mollisols,Aquolls,,,,,,,,,,,,,,,,,N/A,N/A,,,,,61752,20855854
49,422,74457894,45.335416666999997,-122.573586109999994,.,129.975448610000001,-0.004282987700000,-0.003301058700000,5.319823741900000,106.000000000000000,61752.0000000,,61752,,91C,"Woodburn silt loam, 8 to 15 percent slopes",,12.0000000,11.8000002,,64,81,None,None,2,5.0100002,10.0100002,19.8500004,29.6800003,Moderately well drained,Moderately well drained,C,2,90,2,90,Somewhat limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Poor,Not rated,Very limited,1.0000000,Severe,3,1.0000000,61752,,,1,,Aquolls,Taxon above family,No ,,,,,,,,,,,,,,,,Wooded under natural conditions,Yes,,,,,,,,flood plains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aquolls,Mollisols,Aquolls,,,,,,,,,,,,,,,,,N/A,N/A,,,,,61752,20855854
50,423,74457907,45.335394444000002,-122.573777780000000,.,259.203277590000027,0.000432174000000,-0.001124630600000,4.901102542900000,109.000000000000000,61752.0000000,,61752,,91C,"Woodburn silt loam, 8 to 15 percent slopes",,12.0000000,11.8000002,,64,81,None,None,2,5.0100002,10.0100002,19.8500004,29.6800003,Moderately well drained,Moderately well drained,C,2,90,2,90,Somewhat limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Poor,Not rated,Very limited,1.0000000,Severe,3,1.0000000,61752,,,1,,Aquolls,Taxon above family,No ,,,,,,,,,,,,,,,,Wooded under natural conditions,Yes,,,,,,,,flood plains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aquolls,Mollisols,Aquolls,,,,,,,,,,,,,,,,,N/A,N/A,,,,,61752,20855854
51,424,74457923,45.335394444000002,-122.573777780000000,.,259.203277590000027,0.000432174000000,-0.001124630600000,4.901102542900000,109.000000000000000,61752.0000000,,61752,,91C,"Woodburn silt loam, 8 to 15 percent slopes",,12.0000000,11.8000002,,64,81,None,None,2,5.0100002,10.0100002,19.8500004,29.6800003,Moderately well drained,Moderately well drained,C,2,90,2,90,Somewhat limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Poor,Not rated,Very limited,1.0000000,Severe,3,1.0000000,61752,,,1,,Aquolls,Taxon above family,No ,,,,,,,,,,,,,,,,Wooded under natural conditions,Yes,,,,,,,,flood plains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aquolls,Mollisols,Aquolls,,,,,,,,,,,,,,,,,N/A,N/A,,,,,61752,20855854
52,425,74457978,45.335394444000002,-122.573777780000000,.,259.203277590000027,0.000432174000000,-0.001124630600000,4.901102542900000,109.000000000000000,61752.0000000,,61752,,91C,"Woodburn silt loam, 8 to 15 percent slopes",,12.0000000,11.8000002,,64,81,None,None,2,5.0100002,10.0100002,19.8500004,29.6800003,Moderately well drained,Moderately well drained,C,2,90,2,90,Somewhat limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Poor,Not rated,Very limited,1.0000000,Severe,3,1.0000000,61752,,,1,,Aquolls,Taxon above family,No ,,,,,,,,,,,,,,,,Wooded under natural conditions,Yes,,,,,,,,flood plains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aquolls,Mollisols,Aquolls,,,,,,,,,,,,,,,,,N/A,N/A,,,,,61752,20855854
53,426,74458002,45.579272222000000,-122.573833329999999,.,174.252365110000000,0.000892281000000,-0.001544965300000,3.828960418700000,7.000000000000000,61809.0000000,,61809,,33A,"Pilchuck-Urban land complex, 0 to 3 percent slopes",,2.0000000,1.9000000,,,,Rare,Rare,10,2.4800000,4.8899999,9.5900002,14.1199999,Somewhat excessively drained,Somewhat excessively drained,A,,92,4,50,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Good,Good,Very limited,1.0000000,Slight,15,1.0000000,61809,,,5,,Moag,Series,No ,,,0.0000000,1.0000000,1.0000000,,,,,5,38,7,,,,Wooded under natural conditions,Yes,Very poorly drained,0.0000000,3.0000000,6.0000000,,,,flood plains,0.3000000,0.3000000,0.3700000,11.0000000,12.0000000,12.0000000,1016,1270,1524,,,,165,188,210,3,w,,3,w,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,D,Moderate,Moderate,"Fine, mixed, nonacid, mesic Typic Fluvaquents",Entisols,Aquents,Fluvaquents,Typic Fluvaquents,fine,,,nonacid,mesic,,mesic,,,,,,,,N/A,N/A,,,,,61809,20854478
54,427,74458044,45.579272222000000,-122.573833329999999,.,174.252365110000000,0.000892281000000,-0.001544965300000,3.828960418700000,7.000000000000000,61809.0000000,,61809,,33A,"Pilchuck-Urban land complex, 0 to 3 percent slopes",,2.0000000,1.9000000,,,,Rare,Rare,10,2.4800000,4.8899999,9.5900002,14.1199999,Somewhat excessively drained,Somewhat excessively drained,A,,92,4,50,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Good,Good,Very limited,1.0000000,Slight,15,1.0000000,61809,,,5,,Moag,Series,No ,,,0.0000000,1.0000000,1.0000000,,,,,5,38,7,,,,Wooded under natural conditions,Yes,Very poorly drained,0.0000000,3.0000000,6.0000000,,,,flood plains,0.3000000,0.3000000,0.3700000,11.0000000,12.0000000,12.0000000,1016,1270,1524,,,,165,188,210,3,w,,3,w,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,D,Moderate,Moderate,"Fine, mixed, nonacid, mesic Typic Fluvaquents",Entisols,Aquents,Fluvaquents,Typic Fluvaquents,fine,,,nonacid,mesic,,mesic,,,,,,,,N/A,N/A,,,,,61809,20854478
55,428,74458088,45.579272222000000,-122.573833329999999,.,174.252365110000000,0.000892281000000,-0.001544965300000,3.828960418700000,7.000000000000000,61809.0000000,,61809,,33A,"Pilchuck-Urban land complex, 0 to 3 percent slopes",,2.0000000,1.9000000,,,,Rare,Rare,10,2.4800000,4.8899999,9.5900002,14.1199999,Somewhat excessively drained,Somewhat excessively drained,A,,92,4,50,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Good,Good,Very limited,1.0000000,Slight,15,1.0000000,61809,,,5,,Moag,Series,No ,,,0.0000000,1.0000000,1.0000000,,,,,5,38,7,,,,Wooded under natural conditions,Yes,Very poorly drained,0.0000000,3.0000000,6.0000000,,,,flood plains,0.3000000,0.3000000,0.3700000,11.0000000,12.0000000,12.0000000,1016,1270,1524,,,,165,188,210,3,w,,3,w,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,D,Moderate,Moderate,"Fine, mixed, nonacid, mesic Typic Fluvaquents",Entisols,Aquents,Fluvaquents,Typic Fluvaquents,fine,,,nonacid,mesic,,mesic,,,,,,,,N/A,N/A,,,,,61809,20854478
56,429,74458168,45.579272222000000,-122.573833329999999,.,174.252365110000000,0.000892281000000,-0.001544965300000,3.828960418700000,7.000000000000000,61809.0000000,,61809,,33A,"Pilchuck-Urban land complex, 0 to 3 percent slopes",,2.0000000,1.9000000,,,,Rare,Rare,10,2.4800000,4.8899999,9.5900002,14.1199999,Somewhat excessively drained,Somewhat excessively drained,A,,92,4,50,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Good,Good,Very limited,1.0000000,Slight,15,1.0000000,61809,,,5,,Moag,Series,No ,,,0.0000000,1.0000000,1.0000000,,,,,5,38,7,,,,Wooded under natural conditions,Yes,Very poorly drained,0.0000000,3.0000000,6.0000000,,,,flood plains,0.3000000,0.3000000,0.3700000,11.0000000,12.0000000,12.0000000,1016,1270,1524,,,,165,188,210,3,w,,3,w,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,D,Moderate,Moderate,"Fine, mixed, nonacid, mesic Typic Fluvaquents",Entisols,Aquents,Fluvaquents,Typic Fluvaquents,fine,,,nonacid,mesic,,mesic,,,,,,,,N/A,N/A,,,,,61809,20854478
57,430,74458213,45.579272222000000,-122.573833329999999,.,174.252365110000000,0.000892281000000,-0.001544965300000,3.828960418700000,7.000000000000000,61809.0000000,,61809,,33A,"Pilchuck-Urban land complex, 0 to 3 percent slopes",,2.0000000,1.9000000,,,,Rare,Rare,10,2.4800000,4.8899999,9.5900002,14.1199999,Somewhat excessively drained,Somewhat excessively drained,A,,92,4,50,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Good,Good,Very limited,1.0000000,Slight,15,1.0000000,61809,,,5,,Moag,Series,No ,,,0.0000000,1.0000000,1.0000000,,,,,5,38,7,,,,Wooded under natural conditions,Yes,Very poorly drained,0.0000000,3.0000000,6.0000000,,,,flood plains,0.3000000,0.3000000,0.3700000,11.0000000,12.0000000,12.0000000,1016,1270,1524,,,,165,188,210,3,w,,3,w,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,D,Moderate,Moderate,"Fine, mixed, nonacid, mesic Typic Fluvaquents",Entisols,Aquents,Fluvaquents,Typic Fluvaquents,fine,,,nonacid,mesic,,mesic,,,,,,,,N/A,N/A,,,,,61809,20854478
58,431,74469758,45.527383333000003,-121.521094439999999,.,69.042381286999998,-0.001965555400000,0.004713526000000,16.608543396000002,1005.000000000000000,2595838.0000000,,2595838,,NOTCOM,No Digital Data Available,,,,,,,,,0,,,,,,,,,100,,100,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,,Not rated,0,,2595838,,,100,,NOTCOM,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,2595838,21831339
59,432,74490570,45.579272222000000,-122.573833329999999,.,174.252365110000000,0.000892281000000,-0.001544965300000,3.828960418700000,7.000000000000000,61809.0000000,,61809,,33A,"Pilchuck-Urban land complex, 0 to 3 percent slopes",,2.0000000,1.9000000,,,,Rare,Rare,10,2.4800000,4.8899999,9.5900002,14.1199999,Somewhat excessively drained,Somewhat excessively drained,A,,92,4,50,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Good,Good,Very limited,1.0000000,Slight,15,1.0000000,61809,,,5,,Moag,Series,No ,,,0.0000000,1.0000000,1.0000000,,,,,5,38,7,,,,Wooded under natural conditions,Yes,Very poorly drained,0.0000000,3.0000000,6.0000000,,,,flood plains,0.3000000,0.3000000,0.3700000,11.0000000,12.0000000,12.0000000,1016,1270,1524,,,,165,188,210,3,w,,3,w,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,D,Moderate,Moderate,"Fine, mixed, nonacid, mesic Typic Fluvaquents",Entisols,Aquents,Fluvaquents,Typic Fluvaquents,fine,,,nonacid,mesic,,mesic,,,,,,,,N/A,N/A,,,,,61809,20854478
